Zeit [ms]	Zahlenwert	METEX-Wert	Zeit[min]	T'[K]
80606	-8.45	DC-008.45  mV	1.343433333	-1.268785
82602	-8.52	DC-008.52  mV	1.3767	-1.288476
84630	-8.5	DC-008.50  mV	1.4105	-1.28285
86643	-8.44	DC-008.44  mV	1.44405	-1.265972
88640	-8.38	DC-008.38  mV	1.477333333	-1.249094
90668	-8.44	DC-008.44  mV	1.511133333	-1.265972
92680	-8.38	DC-008.38  mV	1.544666667	-1.249094
94692	-8.38	DC-008.38  mV	1.5782	-1.249094
96705	-8.45	DC-008.45  mV	1.61175	-1.268785
98717	-8.42	DC-008.42  mV	1.645283333	-1.260346
100730	-8.44	DC-008.44  mV	1.678833333	-1.265972
102726	-8.41	DC-008.41  mV	1.7121	-1.257533
104754	-8.4	DC-008.40  mV	1.7459	-1.25472
106767	-8.36	DC-008.36  mV	1.77945	-1.243468
108779	-8.35	DC-008.35  mV	1.812983333	-1.240655
110792	-8.33	DC-008.33  mV	1.846533333	-1.235029
112804	-8.37	DC-008.37  mV	1.880066667	-1.246281
114816	-8.34	DC-008.34  mV	1.9136	-1.237842
116813	-8.32	DC-008.32  mV	1.946883333	-1.232216
118841	-8.36	DC-008.36  mV	1.980683333	-1.243468
120854	-8.37	DC-008.37  mV	2.014233333	-1.246281
122866	-8.37	DC-008.37  mV	2.047766667	-1.246281
124878	-8.35	DC-008.35  mV	2.0813	-1.240655
126891	-8.39	DC-008.39  mV	2.11485	-1.251907
128903	-8.38	DC-008.38  mV	2.148383333	-1.249094
130900	-8.35	DC-008.35  mV	2.181666667	-1.240655
132928	-8.35	DC-008.35  mV	2.215466667	-1.240655
134940	-8.38	DC-008.38  mV	2.249	-1.249094
136953	-8.36	DC-008.36  mV	2.28255	-1.243468
138965	-8.42	DC-008.42  mV	2.316083333	-1.260346
140978	-8.44	DC-008.44  mV	2.349633333	-1.265972
142990	-8.38	DC-008.38  mV	2.383166667	-1.249094
144987	-8.35	DC-008.35  mV	2.41645	-1.240655
147015	-8.32	DC-008.32  mV	2.45025	-1.232216
149027	-8.33	DC-008.33  mV	2.483783333	-1.235029
151040	-8.32	DC-008.32  mV	2.517333333	-1.232216
153052	-8.35	DC-008.35  mV	2.550866667	-1.240655
155064	-8.34	DC-008.34  mV	2.5844	-1.237842
157108	-8.31	DC-008.31  mV	2.618466667	-1.229403
159167	-8.35	DC-008.35  mV	2.652783333	-1.240655
161164	-8.33	DC-008.33  mV	2.686066667	-1.235029
163176	-8.37	DC-008.37  mV	2.7196	-1.246281
165189	-8.31	DC-008.31  mV	2.75315	-1.229403
167186	-8.38	DC-008.38  mV	2.786433333	-1.249094
169214	-8.34	DC-008.34  mV	2.820233333	-1.237842
171226	-8.31	DC-008.31  mV	2.853766667	-1.229403
173223	-8.27	DC-008.27  mV	2.88705	-1.218151
175251	-8.39	DC-008.39  mV	2.92085	-1.251907
177263	-8.31	DC-008.31  mV	2.954383333	-1.229403
179276	-8.35	DC-008.35  mV	2.987933333	-1.240655
181288	-8.38	DC-008.38  mV	3.021466667	-1.249094
183300	-8.36	DC-008.36  mV	3.055	-1.243468
185313	-8.31	DC-008.31  mV	3.08855	-1.229403
187310	-8.29	DC-008.29  mV	3.121833333	-1.223777
189338	-8.31	DC-008.31  mV	3.155633333	-1.229403
191350	-8.28	DC-008.28  mV	3.189166667	-1.220964
193362	-8.25	DC-008.25  mV	3.2227	-1.212525
195375	-8.3	DC-008.30  mV	3.25625	-1.22659
197387	-8.28	DC-008.28  mV	3.289783333	-1.220964
199400	-8.31	DC-008.31  mV	3.323333333	-1.229403
201396	-8.3	DC-008.30  mV	3.3566	-1.22659
203424	-8.31	DC-008.31  mV	3.3904	-1.229403
205437	-8.34	DC-008.34  mV	3.42395	-1.237842
207449	-8.36	DC-008.36  mV	3.457483333	-1.243468
209462	-8.32	DC-008.32  mV	3.491033333	-1.232216
211474	-8.31	DC-008.31  mV	3.524566667	-1.229403
213486	-8.3	DC-008.30  mV	3.5581	-1.22659
215483	-8.34	DC-008.34  mV	3.591383333	-1.237842
217511	-8.29	DC-008.29  mV	3.625183333	-1.223777
219524	-8.35	DC-008.35  mV	3.658733333	-1.240655
221536	-8.28	DC-008.28  mV	3.692266667	-1.220964
223876	-8.29	DC-008.29  mV	3.731266667	-1.223777
225561	-8.26	DC-008.26  mV	3.75935	-1.215338
227573	-8.28	DC-008.28  mV	3.792883333	-1.220964
229570	-8.32	DC-008.32  mV	3.826166667	-1.232216
231598	-8.29	DC-008.29  mV	3.859966667	-1.223777
233673	-8.28	DC-008.28  mV	3.89455	-1.220964
235623	-8.22	DC-008.22  mV	3.92705	-1.204086
237635	-8.25	DC-008.25  mV	3.960583333	-1.212525
239679	-8.18	DC-008.18  mV	3.99465	-1.192834
241691	-8.26	DC-008.26  mV	4.028183333	-1.215338
243704	-8.24	DC-008.24  mV	4.061733333	-1.209712
245716	-8.23	DC-008.23  mV	4.095266667	-1.206899
247713	-8.24	DC-008.24  mV	4.12855	-1.209712
249741	-8.22	DC-008.22  mV	4.16235	-1.204086
251753	-8.22	DC-008.22  mV	4.195883333	-1.204086
253750	-8.21	DC-008.21  mV	4.229166667	-1.201273
255778	-8.23	DC-008.23  mV	4.262966667	-1.206899
257790	-8.27	DC-008.27  mV	4.2965	-1.218151
259787	-8.24	DC-008.24  mV	4.329783333	-1.209712
261815	-8.26	DC-008.26  mV	4.363583333	-1.215338
263828	-8.24	DC-008.24  mV	4.397133333	-1.209712
265840	-8.23	DC-008.23  mV	4.430666667	-1.206899
267884	-8.22	DC-008.22  mV	4.464733333	-1.204086
269865	-8.24	DC-008.24  mV	4.49775	-1.209712
271877	-8.19	DC-008.19  mV	4.531283333	-1.195647
273890	-8.19	DC-008.19  mV	4.564833333	-1.195647
275902	-8.24	DC-008.24  mV	4.598366667	-1.209712
277914	-8.2	DC-008.20  mV	4.6319	-1.19846
279927	-8.2	DC-008.20  mV	4.66545	-1.19846
281924	-8.22	DC-008.22  mV	4.698733333	-1.204086
283952	-8.19	DC-008.19  mV	4.732533333	-1.195647
285964	-8.21	DC-008.21  mV	4.766066667	-1.201273
287976	-8.17	DC-008.17  mV	4.7996	-1.190021
289989	-8.14	DC-008.14  mV	4.83315	-1.181582
292001	-8.22	DC-008.22  mV	4.866683333	-1.204086
294014	-8.15	DC-008.15  mV	4.900233333	-1.184395
296010	-8.19	DC-008.19  mV	4.9335	-1.195647
298038	-8.13	DC-008.13  mV	4.9673	-1.178769
300051	-8.2	DC-008.20  mV	5.00085	-1.19846
302063	-8.13	DC-008.13  mV	5.034383333	-1.178769
304076	-8.22	DC-008.22  mV	5.067933333	-1.204086
306104	-8.16	DC-008.16  mV	5.101733333	-1.187208
308116	-8.16	DC-008.16  mV	5.135266667	-1.187208
310128	-8.17	DC-008.17  mV	5.1688	-1.190021
312125	-8.15	DC-008.15  mV	5.202083333	-1.184395
314153	-8.12	DC-008.12  mV	5.235883333	-1.175956
316166	-8.13	DC-008.13  mV	5.269433333	-1.178769
318194	-8.22	DC-008.22  mV	5.303233333	-1.204086
320190	-8.16	DC-008.16  mV	5.3365	-1.187208
322218	-8.21	DC-008.21  mV	5.3703	-1.201273
324215	-8.22	DC-008.22  mV	5.403583333	-1.204086
326212	-8.23	DC-008.23  mV	5.436866667	-1.206899
328240	-8.19	DC-008.19  mV	5.470666667	-1.195647
330252	-8.23	DC-008.23  mV	5.5042	-1.206899
332249	-8.2	DC-008.20  mV	5.537483333	-1.19846
334277	-8.26	DC-008.26  mV	5.571283333	-1.215338
336290	-8.21	DC-008.21  mV	5.604833333	-1.201273
338302	-8.19	DC-008.19  mV	5.638366667	-1.195647
340314	-8.14	DC-008.14  mV	5.6719	-1.181582
342327	-8.04	DC-008.04  mV	5.70545	-1.153452
344339	-7.86	DC-007.86  mV	5.738983333	-1.102818
346336	-7.86	DC-007.86  mV	5.772266667	-1.102818
348426	-7.86	DC-007.86  mV	5.8071	-1.102818
350376	-7.87	DC-007.87  mV	5.8396	-1.105631
352389	-7.86	DC-007.86  mV	5.87315	-1.102818
354401	-7.84	DC-007.84  mV	5.906683333	-1.097192
356414	-7.77	DC-007.77  mV	5.940233333	-1.077501
358426	-7.8	DC-007.80  mV	5.973766667	-1.08594
360438	-7.79	DC-007.79  mV	6.0073	-1.083127
362444	-7.86	DC-007.86  mV	6.040733333	-1.102818
364457	-7.84	DC-007.84  mV	6.074283333	-1.097192
366472	-7.86	DC-007.86  mV	6.107866667	-1.102818
368458	-7.83	DC-007.83  mV	6.140966667	-1.094379
370454	-7.8	DC-007.80  mV	6.174233333	-1.08594
372482	-7.89	DC-007.89  mV	6.208033333	-1.111257
374495	-7.84	DC-007.84  mV	6.241583333	-1.097192
376507	-7.79	DC-007.79  mV	6.275116667	-1.083127
378520	-7.82	DC-007.82  mV	6.308666667	-1.091566
380532	-7.89	DC-007.89  mV	6.3422	-1.111257
382544	-7.9	DC-007.90  mV	6.375733333	-1.11407
384541	-7.93	DC-007.93  mV	6.409016667	-1.122509
386569	-7.91	DC-007.91  mV	6.442816667	-1.116883
388753	-7.9	DC-007.90  mV	6.479216667	-1.11407
390750	-7.9	DC-007.90  mV	6.5125	-1.11407
392762	-7.89	DC-007.89  mV	6.546033333	-1.111257
394775	-7.9	DC-007.90  mV	6.579583333	-1.11407
396787	-7.88	DC-007.88  mV	6.613116667	-1.108444
398784	-7.85	DC-007.85  mV	6.6464	-1.100005
400812	-7.87	DC-007.87  mV	6.6802	-1.105631
402824	-7.91	DC-007.91  mV	6.713733333	-1.116883
404837	-7.89	DC-007.89  mV	6.747283333	-1.111257
406849	-7.95	DC-007.95  mV	6.780816667	-1.128135
408862	-7.85	DC-007.85  mV	6.814366667	-1.100005
410874	-7.82	DC-007.82  mV	6.8479	-1.091566
412871	-7.84	DC-007.84  mV	6.881183333	-1.097192
414899	-7.86	DC-007.86  mV	6.914983333	-1.102818
416927	-7.85	DC-007.85  mV	6.948783333	-1.100005
418908	-7.8	DC-007.80  mV	6.9818	-1.08594
420936	-7.79	DC-007.79  mV	7.0156	-1.083127
422948	-7.82	DC-007.82  mV	7.049133333	-1.091566
424976	-7.85	DC-007.85  mV	7.082933333	-1.100005
426975	-7.77	DC-007.77  mV	7.11625	-1.077501
428988	-7.75	DC-007.75  mV	7.1498	-1.071875
431016	-7.75	DC-007.75  mV	7.1836	-1.071875
433075	-7.79	DC-007.79  mV	7.217916667	-1.083127
435072	-7.77	DC-007.77  mV	7.2512	-1.077501
437084	-7.76	DC-007.76  mV	7.284733333	-1.074688
439096	-7.76	DC-007.76  mV	7.318266667	-1.074688
441109	-7.76	DC-007.76  mV	7.351816667	-1.074688
443121	-7.73	DC-007.73  mV	7.38535	-1.066249
445212	-7.75	DC-007.75  mV	7.4202	-1.071875
447240	-7.7	DC-007.70  mV	7.454	-1.05781
449236	-7.69	DC-007.69  mV	7.487266667	-1.054997
451249	-7.71	DC-007.71  mV	7.520816667	-1.060623
453261	-7.74	DC-007.74  mV	7.55435	-1.069062
455274	-7.73	DC-007.73  mV	7.5879	-1.066249
457286	-7.74	DC-007.74  mV	7.621433333	-1.069062
459330	-7.76	DC-007.76  mV	7.6555	-1.074688
461373	-7.67	DC-007.67  mV	7.68955	-1.049371
463401	-7.71	DC-007.71  mV	7.72335	-1.060623
465414	-7.75	DC-007.75  mV	7.7569	-1.071875
467426	-7.71	DC-007.71  mV	7.790433333	-1.060623
469438	-7.7	DC-007.70  mV	7.823966667	-1.05781
471451	-7.71	DC-007.71  mV	7.857516667	-1.060623
473463	-7.73	DC-007.73  mV	7.89105	-1.066249
475507	-7.71	DC-007.71  mV	7.925116667	-1.060623
477535	-7.72	DC-007.72  mV	7.958916667	-1.063436
479547	-7.67	DC-007.67  mV	7.99245	-1.049371
481560	-7.71	DC-007.71  mV	8.026	-1.060623
483572	-7.66	DC-007.66  mV	8.059533333	-1.046558
485584	-7.71	DC-007.71  mV	8.093066667	-1.060623
487597	-7.7	DC-007.70  mV	8.126616667	-1.05781
489609	-7.67	DC-007.67  mV	8.16015	-1.049371
491622	-7.64	DC-007.64  mV	8.1937	-1.040932
493634	-7.75	DC-007.75  mV	8.227233333	-1.071875
495631	-7.64	DC-007.64  mV	8.260516667	-1.040932
497659	-7.75	DC-007.75  mV	8.294316667	-1.071875
499671	-7.7	DC-007.70  mV	8.32785	-1.05781
501684	-7.64	DC-007.64  mV	8.3614	-1.040932
503696	-7.68	DC-007.68  mV	8.394933333	-1.052184
505708	-7.65	DC-007.65  mV	8.428466667	-1.043745
507721	-7.64	DC-007.64  mV	8.462016667	-1.040932
509718	-7.66	DC-007.66  mV	8.4953	-1.046558
511746	-7.73	DC-007.73  mV	8.5291	-1.066249
513774	-7.69	DC-007.69  mV	8.5629	-1.054997
515770	-1.72	DC-001.72  mV	8.596166667	0.624364
517783	-7.69	DC-007.69  mV	8.629716667	-1.054997
519795	-7.7	DC-007.70  mV	8.66325	-1.05781
521823	-7.68	DC-007.68  mV	8.69705	-1.052184
523804	-7.69	DC-007.69  mV	8.730066667	-1.054997
525832	-7.66	DC-007.66  mV	8.763866667	-1.046558
527845	-7.71	DC-007.71  mV	8.797416667	-1.060623
529873	-7.69	DC-007.69  mV	8.831216667	-1.054997
531870	-7.66	DC-007.66  mV	8.8645	-1.046558
533882	-7.65	DC-007.65  mV	8.898033333	-1.043745
535894	-7.67	DC-007.67  mV	8.931566667	-1.049371
537907	-7.63	DC-007.63  mV	8.965116667	-1.038119
539919	-7.66	DC-007.66  mV	8.99865	-1.046558
541932	-7.68	DC-007.68  mV	9.0322	-1.052184
543928	-7.64	DC-007.64  mV	9.065466667	-1.040932
545956	-7.68	DC-007.68  mV	9.099266667	-1.052184
547969	-7.65	DC-007.65  mV	9.132816667	-1.043745
549981	-7.62	DC-007.62  mV	9.16635	-1.035306
551994	-7.65	DC-007.65  mV	9.1999	-1.043745
554006	-7.68	DC-007.68  mV	9.233433333	-1.052184
556018	-7.67	DC-007.67  mV	9.266966667	-1.049371
558015	-7.63	DC-007.63  mV	9.30025	-1.038119
560043	-7.7	DC-007.70  mV	9.33405	-1.05781
562056	-7.6	DC-007.60  mV	9.3676	-1.02968
564068	-7.61	DC-007.61  mV	9.401133333	-1.032493
566080	-7.59	DC-007.59  mV	9.434666667	-1.026867
568093	-7.63	DC-007.63  mV	9.468216667	-1.038119
570105	-7.6	DC-007.60  mV	9.50175	-1.02968
572118	-7.65	DC-007.65  mV	9.5353	-1.043745
574130	-7.59	DC-007.59  mV	9.568833333	-1.026867
576142	-7.62	DC-007.62  mV	9.602366667	-1.035306
578155	-7.59	DC-007.59  mV	9.635916667	-1.026867
580167	-7.6	DC-007.60  mV	9.66945	-1.02968
582180	-7.61	DC-007.61  mV	9.703	-1.032493
584192	-7.64	DC-007.64  mV	9.736533333	-1.040932
586189	-7.63	DC-007.63  mV	9.769816667	-1.038119
588217	-7.65	DC-007.65  mV	9.803616667	-1.043745
590229	-7.61	DC-007.61  mV	9.83715	-1.032493
592242	-7.58	DC-007.58  mV	9.8707	-1.024054
594254	-7.57	DC-007.57  mV	9.904233333	-1.021241
596266	-7.59	DC-007.59  mV	9.937766667	-1.026867
598294	-7.58	DC-007.58  mV	9.971566667	-1.024054
600400	-7.59	DC-007.59  mV	10.00666667	-1.026867
602413	-7.6	DC-007.60  mV	10.04021667	-1.02968
604441	-7.6	DC-007.60  mV	10.07401667	-1.02968
606453	-7.62	DC-007.62  mV	10.10755	-1.035306
608450	-7.64	DC-007.64  mV	10.14083333	-1.040932
610462	-7.64	DC-007.64  mV	10.17436667	-1.040932
612475	-7.63	DC-007.63  mV	10.20791667	-1.038119
614472	-7.68	DC-007.68  mV	10.2412	-1.052184
616500	-7.7	DC-007.70  mV	10.275	-1.05781
618512	-7.65	DC-007.65  mV	10.30853333	-1.043745
620524	-7.63	DC-007.63  mV	10.34206667	-1.038119
622537	-7.61	DC-007.61  mV	10.37561667	-1.032493
624549	-7.61	DC-007.61  mV	10.40915	-1.032493
626562	-7.57	DC-007.57  mV	10.4427	-1.021241
628574	-7.58	DC-007.58  mV	10.47623333	-1.024054
630602	-7.59	DC-007.59  mV	10.51003333	-1.026867
632614	-7.59	DC-007.59  mV	10.54356667	-1.026867
634642	-7.59	DC-007.59  mV	10.57736667	-1.026867
636655	-7.57	DC-007.57  mV	10.61091667	-1.021241
638667	-7.57	DC-007.57  mV	10.64445	-1.021241
640680	-7.58	DC-007.58  mV	10.678	-1.024054
642801	-7.61	DC-007.61  mV	10.71335	-1.032493
644704	-7.55	DC-007.55  mV	10.74506667	-1.015615
646701	-7.5	DC-007.50  mV	10.77835	-1.00155
648729	-7.49	DC-007.49  mV	10.81215	-0.998737
650742	-7.54	DC-007.54  mV	10.8457	-1.012802
652754	-7.56	DC-007.56  mV	10.87923333	-1.018428
654766	-7.58	DC-007.58  mV	10.91276667	-1.024054
656779	-7.57	DC-007.57  mV	10.94631667	-1.021241
658791	-7.63	DC-007.63  mV	10.97985	-1.038119
660788	-7.56	DC-007.56  mV	11.01313333	-1.018428
662816	-7.55	DC-007.55  mV	11.04693333	-1.015615
664828	-7.54	DC-007.54  mV	11.08046667	-1.012802
666841	-7.51	DC-007.51  mV	11.11401667	-1.004363
668853	-7.51	DC-007.51  mV	11.14755	-1.004363
670866	-7.55	DC-007.55  mV	11.1811	-1.015615
672878	-7.51	DC-007.51  mV	11.21463333	-1.004363
674875	-7.47	DC-007.47  mV	11.24791667	-0.993111
676903	-7.52	DC-007.52  mV	11.28171667	-1.007176
678915	-7.5	DC-007.50  mV	11.31525	-1.00155
680928	-7.52	DC-007.52  mV	11.3488	-1.007176
682940	-7.54	DC-007.54  mV	11.38233333	-1.012802
684952	-7.48	DC-007.48  mV	11.41586667	-0.995924
686965	-7.48	DC-007.48  mV	11.44941667	-0.995924
688962	-7.48	DC-007.48  mV	11.4827	-0.995924
690990	-7.48	DC-007.48  mV	11.5165	-0.995924
693002	-7.44	DC-007.44  mV	11.55003333	-0.984672
695014	-7.39	DC-007.39  mV	11.58356667	-0.970607
697027	-7.47	DC-007.47  mV	11.61711667	-0.993111
699039	-7.43	DC-007.43  mV	11.65065	-0.981859
701052	-7.37	DC-007.37  mV	11.6842	-0.964981
703064	-7.43	DC-007.43  mV	11.71773333	-0.981859
705076	-7.36	DC-007.36  mV	11.75126667	-0.962168
707089	-7.4	DC-007.40  mV	11.78481667	-0.97342
709086	-7.39	DC-007.39  mV	11.8181	-0.970607
711114	-7.41	DC-007.41  mV	11.8519	-0.976233
713126	-7.44	DC-007.44  mV	11.88543333	-0.984672
715138	-7.42	DC-007.42  mV	11.91896667	-0.979046
717151	-7.41	DC-007.41  mV	11.95251667	-0.976233
719179	-7.41	DC-007.41  mV	11.98631667	-0.976233
721176	-7.4	DC-007.40  mV	12.0196	-0.97342
723188	-7.38	DC-007.38  mV	12.05313333	-0.967794
725200	-7.38	DC-007.38  mV	12.08666667	-0.967794
727213	-7.43	DC-007.43  mV	12.12021667	-0.981859
729225	-7.35	DC-007.35  mV	12.15375	-0.959355
731238	-7.31	DC-007.31  mV	12.1873	-0.948103
733250	-7.37	DC-007.37  mV	12.22083333	-0.964981
735262	-7.37	DC-007.37  mV	12.25436667	-0.964981
737259	-7.37	DC-007.37  mV	12.28765	-0.964981
739287	-7.35	DC-007.35  mV	12.32145	-0.959355
741300	-7.41	DC-007.41  mV	12.355	-0.976233
743312	-7.36	DC-007.36  mV	12.38853333	-0.962168
745324	-7.35	DC-007.35  mV	12.42206667	-0.959355
747337	-7.32	DC-007.32  mV	12.45561667	-0.950916
749349	-7.3	DC-007.30  mV	12.48915	-0.94529
751346	-7.28	DC-007.28  mV	12.52243333	-0.939664
753374	-7.25	DC-007.25  mV	12.55623333	-0.931225
755386	-7.29	DC-007.29  mV	12.58976667	-0.942477
757383	-7.26	DC-007.26  mV	12.62305	-0.934038
759411	-7.24	DC-007.24  mV	12.65685	-0.928412
761424	-7.18	DC-007.18  mV	12.6904	-0.911534
763436	-7.23	DC-007.23  mV	12.72393333	-0.925599
765433	-7.25	DC-007.25  mV	12.75721667	-0.931225
767461	-7.24	DC-007.24  mV	12.79101667	-0.928412
769473	-7.19	DC-007.19  mV	12.82455	-0.914347
771470	-7.2	DC-007.20  mV	12.85783333	-0.91716
773498	-7.22	DC-007.22  mV	12.89163333	-0.922786
775510	-7.16	DC-007.16  mV	12.92516667	-0.905908
777507	-7.18	DC-007.18  mV	12.95845	-0.911534
779535	-7.2	DC-007.20  mV	12.99225	-0.91716
781548	-7.24	DC-007.24  mV	13.0258	-0.928412
783560	-7.21	DC-007.21  mV	13.05933333	-0.919973
785557	-7.22	DC-007.22  mV	13.09261667	-0.922786
787585	-7.25	DC-007.25  mV	13.12641667	-0.931225
789597	-7.23	DC-007.23  mV	13.15995	-0.925599
791610	-7.2	DC-007.20  mV	13.1935	-0.91716
793622	-7.17	DC-007.17  mV	13.22703333	-0.908721
795634	-7.19	DC-007.19  mV	13.26056667	-0.914347
797647	-7.19	DC-007.19  mV	13.29411667	-0.914347
799644	-7.15	DC-007.15  mV	13.3274	-0.903095
801672	-7.18	DC-007.18  mV	13.3612	-0.911534
803871	-7.14	DC-007.14  mV	13.39785	-0.900282
805884	-7.13	DC-007.13  mV	13.4314	-0.897469
807896	-7.16	DC-007.16  mV	13.46493333	-0.905908
809908	-7.2	DC-007.20  mV	13.49846667	-0.91716
811921	-7.12	DC-007.12  mV	13.53201667	-0.894656
813933	-7.12	DC-007.12  mV	13.56555	-0.894656
815946	-7.15	DC-007.15  mV	13.5991	-0.903095
817942	-7.15	DC-007.15  mV	13.63236667	-0.903095
819970	-7.17	DC-007.17  mV	13.66616667	-0.908721
821983	-7.16	DC-007.16  mV	13.69971667	-0.905908
823995	-7.17	DC-007.17  mV	13.73325	-0.908721
826008	-7.21	DC-007.21  mV	13.7668	-0.919973
828020	-7.17	DC-007.17  mV	13.80033333	-0.908721
830032	-7.09	DC-007.09  mV	13.83386667	-0.886217
832029	-7.08	DC-007.08  mV	13.86715	-0.883404
834057	-7.12	DC-007.12  mV	13.90095	-0.894656
836070	-7.1	DC-007.10  mV	13.9345	-0.88903
838082	-7.1	DC-007.10  mV	13.96803333	-0.88903
840094	-7.13	DC-007.13  mV	14.00156667	-0.897469
842107	-7.08	DC-007.08  mV	14.03511667	-0.883404
844119	-7.04	DC-007.04  mV	14.06865	-0.872152
846147	-7.06	DC-007.06  mV	14.10245	-0.877778
848144	-7.02	DC-007.02  mV	14.13573333	-0.866526
850141	-7	DC-007.00  mV	14.16901667	-0.8609
852169	-7.03	DC-007.03  mV	14.20281667	-0.869339
854181	-7	DC-007.00  mV	14.23635	-0.8609
856194	-6.97	DC-006.97  mV	14.2699	-0.852461
858190	-6.95	DC-006.95  mV	14.30316667	-0.846835
860218	-6.95	DC-006.95  mV	14.33696667	-0.846835
862231	-6.92	DC-006.92  mV	14.37051667	-0.838396
864243	-6.93	DC-006.93  mV	14.40405	-0.841209
866256	-6.94	DC-006.94  mV	14.4376	-0.844022
868268	-6.92	DC-006.92  mV	14.47113333	-0.838396
870280	-6.91	DC-006.91  mV	14.50466667	-0.835583
872293	-6.91	DC-006.91  mV	14.53821667	-0.835583
874305	-6.92	DC-006.92  mV	14.57175	-0.838396
876318	-6.9	DC-006.90  mV	14.6053	-0.83277
878330	-6.87	DC-006.87  mV	14.63883333	-0.824331
880327	-6.85	DC-006.85  mV	14.67211667	-0.818705
882355	-6.84	DC-006.84  mV	14.70591667	-0.815892
884367	-6.86	DC-006.86  mV	14.73945	-0.821518
886380	-6.88	DC-006.88  mV	14.773	-0.827144
888392	-6.85	DC-006.85  mV	14.80653333	-0.818705
890404	-6.82	DC-006.82  mV	14.84006667	-0.810266
892417	-6.85	DC-006.85  mV	14.87361667	-0.818705
894414	-6.83	DC-006.83  mV	14.9069	-0.813079
896442	-6.8	DC-006.80  mV	14.9407	-0.80464
898454	-6.8	DC-006.80  mV	14.97423333	-0.80464
900466	-6.76	DC-006.76  mV	15.00776667	-0.793388
902479	-6.8	DC-006.80  mV	15.04131667	-0.80464
904491	-6.73	DC-006.73  mV	15.07485	-0.784949
906504	-6.72	DC-006.72  mV	15.1084	-0.782136
908500	-6.77	DC-006.77  mV	15.14166667	-0.796201
910528	-6.75	DC-006.75  mV	15.17546667	-0.790575
912541	-6.75	DC-006.75  mV	15.20901667	-0.790575
914538	-6.79	DC-006.79  mV	15.2423	-0.801827
916566	-6.72	DC-006.72  mV	15.2761	-0.782136
918578	-6.69	DC-006.69  mV	15.30963333	-0.773697
920590	-6.71	DC-006.71  mV	15.34316667	-0.779323
922603	-6.68	DC-006.68  mV	15.37671667	-0.770884
924615	-6.65	DC-006.65  mV	15.41025	-0.762445
926628	-6.68	DC-006.68  mV	15.4438	-0.770884
928624	-6.64	DC-006.64  mV	15.47706667	-0.759632
930652	-6.58	DC-006.58  mV	15.51086667	-0.742754
932665	-6.66	DC-006.66  mV	15.54441667	-0.765258
934662	-6.62	DC-006.62  mV	15.5777	-0.754006
936690	-6.66	DC-006.66  mV	15.6115	-0.765258
938702	-6.65	DC-006.65  mV	15.64503333	-0.762445
940714	-6.63	DC-006.63  mV	15.67856667	-0.756819
942727	-6.61	DC-006.61  mV	15.71211667	-0.751193
944739	-6.62	DC-006.62  mV	15.74565	-0.754006
